player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Brennan Presley,122982,WR,OKLA STATE,2,73.5,13,262,0,26,25,34,1,245,9.8
Jalen McMillan,131905,WR,WASHINGTON,3,69.0,12,340,0,45,20,29,2,222,11.1
Rome Odunze,73774,WR,WASHINGTON,3,73.1,14,340,0,52,19,26,0,314,16.5
Jabre Barber,123689,WR,TROY,2,68.2,7,318,0,37,15,22,0,144,9.6
Rashod Owens,122979,WR,OKLA STATE,2,66.7,11,262,1,41,14,21,4,249,17.8
Ja'Lynn Polk,123153,WR,WASHINGTON,3,66.7,8,340,0,77,14,21,1,216,15.4
CJ Daniels,123874,WR,LIBERTY,2,75.0,11,206,1,64,15,20,1,233,15.5
Kaedin Robinson,144468,WR,APP STATE,2,70.0,8,108,0,52,14,20,0,188,13.4
Ricky White,129639,WR,UNLV,2,65.0,8,325,0,37,13,20,1,183,14.1
Tez Johnson,123709,WR,OREGON,2,84.2,9,264,0,40,16,19,1,240,15.0
Jerjuan Newton,97308,WR,TOLEDO,2,47.4,8,316,0,30,9,19,0,126,14.0
Cornelius Johnson,97996,WR,MICHIGAN,3,73.7,7,222,0,14,14,19,0,101,7.2
Jacob De Jesus,174068,WR,UNLV,2,77.8,7,325,0,38,14,18,0,150,10.7
Xavier Restrepo,122220,WR,MIAMI FL,1,64.7,4,220,0,30,11,17,1,99,9.0
Ja'Tavion Sanders,144717,TE,TEXAS,2,82.4,10,311,0,26,14,17,1,180,12.9
Junior Vandeross III,163156,WR,TOLEDO,2,56.3,7,316,0,44,9,16,0,159,17.7
Xavier Worthy,144718,WR,TEXAS,2,50.0,2,311,0,54,8,16,0,131,16.4
Adonai Mitchell,146712,WR,TEXAS,2,62.5,7,311,0,62,10,16,2,141,14.1
Kaleb Brown,162861,WR,IOWA,2,53.3,3,192,0,14,8,15,0,73,9.1
Jack Westover,84079,TE,WASHINGTON,3,80.0,6,340,0,19,12,15,0,105,8.8
