player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Calais Campbell,4364,DI,BLT,2,0,0,3,0,0,0,0,0
Malcolm Jenkins,4937,S,NO,1,0,0,20,0,0,1,0,2
Jason McCourty,5127,S,MIA,2,0,0,17,0,0,0,0,2
Steve McLendon,5232,DI,TB,2,1,0,30,0,0,0,0,0
Ndamukong Suh,5527,DI,TB,1,0,0,30,0,0,0,0,0
Gerald McCoy,5528,DI,LV,1,0,0,23,0,0,0,0,0
Joe Haden,5532,CB,PIT,1,0,0,25,0,0,1,0,0
Tyson Alualu,5535,DI,PIT,1,0,0,25,0,0,0,0,0
Brandon Graham,5538,ED,PHI,1,0,0,24,0,0,0,0,0
Jason Pierre-Paul,5540,ED,TB,2,2,0,30,0,0,0,0,3
Kareem Jackson,5545,S,DEN,2,0,0,10,0,0,0,0,3
Devin McCourty,5552,S,NE,2,0,0,19,0,0,0,0,0
Jerry Hughes,5556,ED,BUF,1,0,0,4,1,0,0,0,0
Everson Griffen,5624,ED,MIN,1,0,0,18,0,0,0,1,0
Al Woods,5646,DI,SEA,1,2,0,29,0,0,0,0,0
Anthony Levine,6013,S,BLT,3,0,0,3,0,0,0,0,3
Von Miller,6154,ED,DEN,1,0,0,10,0,0,0,0,3
Robert Quinn,6166,ED,CHI,2,1,0,6,0,0,0,0,0
Prince Amukamara,6171,CB,NO,1,0,0,20,0,0,0,0,2
Cameron Jordan,6176,ED,NO,1,1,0,20,0,0,0,0,0
Cameron Heyward,6183,DI,PIT,1,0,0,25,1,0,0,0,0
Justin Houston,6222,ED,BLT,2,0,0,3,0,0,0,0,0
Pernell McPhee,6317,ED,BLT,2,0,0,3,0,0,0,0,0
Lawrence Guy Sr.,6385,DI,NE,2,0,0,19,0,0,0,0,2
Malcolm Smith,6394,LB,CLV,3,4,0,8,0,0,0,0,5
Josh Bynes,6503,LB,CAR,2,3,0,5,0,0,0,0,9
Nick Bellore,6515,FB,SEA,2,1,0,29,0,0,0,0,10
Mario Addison,6558,ED,BUF,1,0,0,4,0,0,0,0,0
Fletcher Cox,7018,DI,PHI,1,0,0,24,0,0,0,0,1
Melvin Ingram III,7024,ED,PIT,2,0,0,25,0,0,0,0,1
Dont'a Hightower,7030,LB,NE,3,0,0,19,0,0,0,0,2
Whitney Mercilus,7031,ED,HST,2,0,0,13,1,0,0,0,0
Derek Wolfe,7040,DI,BLT,1,0,0,3,0,0,0,0,1
Janoris Jenkins,7043,CB,TEN,2,0,0,31,0,0,0,0,0
Tavon Wilson,7051,S,SF,2,2,0,28,0,0,0,0,2
Lavonte David,7060,LB,TB,2,3,1,30,0,0,0,0,6
Demario Davis,7079,LB,NO,1,1,0,20,1,0,0,0,1
Akiem Hicks,7090,DI,CHI,2,0,0,6,1,0,0,0,2
Mike Daniels,7132,DI,CIN,2,2,0,7,0,0,0,0,2
Jack Crawford,7151,DI,ARZ,2,3,0,1,0,0,0,0,3
Danny Trevathan,7177,LB,CHI,1,0,0,6,0,1,1,0,3
Tashaun Gipson Sr.,7288,S,CHI,1,0,0,6,0,0,0,0,1
L.J. Fort,7292,LB,BLT,2,3,0,3,0,0,0,1,2
Julian Stanford,7372,LB,CAR,2,0,0,5,0,0,0,0,4
Malik Jackson,7647,DI,CLV,1,0,0,8,0,0,0,0,0
Justin Bethel,7654,CB,NE,3,1,0,19,0,0,2,0,0
Sheldon Richardson,7794,DI,MIN,2,1,0,18,0,0,0,0,1
Star Lotulelei,7795,DI,BUF,1,0,0,4,0,0,0,0,1
Alec Ogletree,7811,LB,CHI,2,1,0,6,0,0,0,0,6
Darius Slay,7817,CB,PHI,1,0,0,24,0,0,0,0,0
Kevin Minter,7826,LB,TB,3,2,0,30,0,0,0,0,4
Jon Bostic,7831,LB,WAS,2,0,0,32,0,0,0,0,2
Jamie Collins Sr.,7833,LB,DET,1,0,0,11,0,0,0,0,0
Margus Hunt,7834,DI,ARZ,2,0,0,1,0,0,0,0,2
Robert Alford,7841,CB,ARZ,2,0,0,1,0,0,0,0,3
Tyrann Mathieu,7850,S,KC,3,0,0,16,0,0,0,0,0
Blidi Wreh-Wilson,7851,CB,LV,2,1,0,23,0,0,1,0,0
John Jenkins,7863,DI,MIA,3,1,0,17,0,0,0,0,3
Logan Ryan,7864,S,NYG,1,0,0,21,0,0,0,0,2
Shawn Williams,7865,S,ARZ,2,4,0,1,0,0,0,0,5
Duron Harmon,7872,S,ATL,1,0,0,2,0,0,0,0,0
Brandon Williams,7875,DI,BLT,2,0,0,3,0,0,0,0,0
Akeem Spence,7882,DI,NE,3,2,0,19,0,0,0,0,2
Alex Okafor,7885,ED,KC,2,1,0,16,2,0,0,0,1
B.W. Webb,7896,CB,SF,2,1,0,28,0,0,0,0,0
William Gholston,7908,DI,TB,2,0,0,30,0,0,0,0,2
John Simon,7911,ED,TEN,3,0,1,31,0,0,0,1,1
Steven Means,7929,ED,ATL,1,1,0,2,0,0,0,0,0
A.J. Klein,7930,LB,BUF,1,1,0,4,0,0,0,0,3
Micah Hyde,7941,S,BUF,1,0,0,4,0,1,0,0,1
Jordan Poyer,8000,S,BUF,1,0,0,4,0,0,0,0,1
Nick Williams,8006,DI,DET,1,0,0,11,0,0,0,0,0
Damion Square,8042,DI,CLV,1,0,0,8,0,0,0,0,0
Lerentee McCray,8159,ED,JAX,3,2,0,15,0,0,0,0,1
Bradley McDougald,8220,S,TEN,2,0,0,31,0,0,1,0,4
Rashaan Melvin,8334,CB,CAR,3,0,0,5,0,0,1,0,0
Brandon Copeland,8378,ED,ATL,3,2,0,2,0,0,0,0,2
Jeff Heath,8396,S,NO,1,1,0,20,0,0,0,0,0
Chris Banjo,8419,S,ARZ,1,1,0,1,0,0,0,0,2
Nickell Robey-Coleman,8483,CB,DET,3,0,0,11,0,0,0,0,2
Mike Purcell,8530,DI,DEN,2,0,0,10,0,0,0,0,1
Khalil Mack,8640,ED,CHI,2,0,0,6,0,0,0,0,0
Kyle Fuller,8649,CB,DEN,2,0,0,10,0,0,0,0,2
C.J. Mosley,8652,LB,NYJ,2,2,0,22,0,0,1,0,5
Ha Ha Clinton-Dix,8656,S,SF,2,0,0,28,0,1,0,0,6
Bradley Roby,8666,CB,HST,1,0,0,13,0,0,1,0,0
Kyle Van Noy,8675,LB,NE,3,1,0,19,1,0,0,0,4
