player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Brandon Graham,5538,ED,PHI,1,0,0,24,0,0,0,0,0
Cameron Heyward,6183,DI,PIT,1,0,0,25,0,0,0,0,2
Jordan Poyer,8000,S,BUF,1,0,0,4,0,0,0,0,2
Tony Jefferson,8361,S,LAC,1,0,0,27,0,0,0,0,3
Khalil Mack,8640,ED,LAC,1,0,0,27,1,0,0,0,2
DeMarcus Lawrence,8669,ED,SEA,3,0,2,29,3,0,0,2,4
DaQuan Jones,8747,DI,BUF,2,1,0,4,0,0,0,0,2
Denico Autry,8982,DI,HST,2,0,0,13,1,0,0,1,0
Leonard Williams,9439,DI,SEA,3,2,0,29,3,0,0,1,2
Arik Armstead,9450,DI,JAX,1,1,0,15,0,0,0,0,3
Shaq Thompson,9458,LB,BUF,2,2,0,4,0,1,0,0,11
Eric Kendricks,9478,LB,SF,2,5,0,28,0,0,1,0,14
Denzel Perryman,9481,LB,LAC,1,2,0,27,0,0,0,0,2
Danielle Hunter,9521,ED,HST,2,1,2,13,1,0,0,3,2
Grady Jarrett,9570,DI,CHI,2,3,1,6,1,0,0,0,3
Alex Singleton,9994,LB,DEN,2,9,1,10,1,0,0,0,19
Joey Bosa,10637,ED,BUF,2,1,0,4,1,0,0,0,2
Jalen Ramsey,10639,S,PIT,1,0,0,25,0,0,0,0,5
Sheldon Rankins,10646,DI,HST,2,1,0,13,1,0,0,2,3
Austin Johnson,10677,DI,JAX,1,0,0,15,0,0,0,0,1
A'Shawn Robinson,10680,DI,CAR,1,2,0,5,0,0,0,0,2
Jarran Reed,10683,DI,SEA,3,2,0,29,0,0,0,0,5
Kevin Byard,10698,S,CHI,2,3,0,6,0,0,1,0,9
Eric Murray,10740,S,JAX,1,2,0,15,0,0,0,0,5
Andrew Billings,10756,DI,CHI,2,0,0,6,0,0,0,0,4
Derek Barnett,11769,ED,HST,2,0,0,13,1,0,0,1,1
Adoree' Jackson,11773,CB,PHI,1,0,0,24,0,0,0,0,5
Tre'Davious White,11782,CB,BUF,2,0,0,4,0,0,3,0,6
T.J. Watt,11785,ED,PIT,1,1,0,25,1,0,0,0,4
Larry Ogunjobi,11820,DI,BUF,1,0,0,4,0,0,0,0,0
Ahkello Witherspoon,11821,CB,LA,1,0,0,26,0,0,0,0,1
Dawuane Smoot,11823,ED,JAX,1,0,0,15,0,0,0,0,0
Jalen Reeves-Maybin,11879,LB,CHI,1,0,0,6,1,0,0,0,1
Matt Milano,11918,LB,BUF,2,1,0,4,0,0,1,0,8
Chuck Clark,11941,S,PIT,1,2,0,25,0,0,1,0,4
D.J. Jones,11953,DI,DEN,2,1,0,10,0,0,0,2,3
Foyesade Oluokun,24904,LB,JAX,1,2,0,15,0,0,0,0,3
Anfernee Jennings,25449,ED,NE,4,4,0,19,3,0,1,2,11
Clelin Ferrell,25955,ED,SF,2,0,0,28,0,0,0,0,3
Bryce Huff,27128,ED,SF,2,1,0,28,0,0,0,0,2
Montez Sweat,27271,ED,CHI,2,0,1,6,4,0,0,1,4
DaVon Hamilton,28072,DI,JAX,1,0,0,15,0,0,0,0,3
Malik Harrison,28081,LB,PIT,1,1,0,25,0,0,0,0,1
Tremon Smith,28196,CB,HST,1,0,0,13,0,0,0,0,1
Troy Dye,28251,LB,LAC,1,0,0,27,0,0,0,0,1
T.J. Edwards,30737,LB,CHI,1,0,0,6,0,0,0,0,0
Dane Jackson,32989,CB,BUF,1,0,0,4,0,0,0,0,0
Darnell Savage,34247,S,BUF,1,0,0,4,0,0,0,0,0
Zack Baun,34632,LB,PHI,1,0,0,24,0,0,0,0,5
Trevis Gipson,35241,ED,CAR,1,0,0,5,0,0,0,1,1
Troy Reeder,38268,LB,LA,2,1,0,26,0,0,0,0,0
Tershawn Wharton,40292,DI,CAR,1,1,0,5,2,0,0,0,1
Trevon Diggs,41817,CB,GB,1,0,0,12,0,0,0,0,0
Ed Oliver,42200,DI,BUF,1,0,0,4,1,0,0,0,0
Amen Ogbongbemiga,42449,LB,CHI,1,1,0,6,0,0,0,0,0
Justin Strnad,42659,LB,DEN,2,3,0,10,0,0,0,0,3
Curtis Robinson,42871,LB,SF,2,2,0,28,0,0,0,0,0
Rashan Gary,42905,ED,GB,1,1,0,12,1,0,0,0,1
Jonathon Cooper,43021,ED,DEN,2,0,0,10,2,0,0,1,3
Myles Bryant,43336,S,HST,1,0,0,13,0,0,0,0,0
Nick Niemann,43500,LB,GB,1,0,0,12,0,0,0,0,0
Alex Highsmith,43507,ED,PIT,1,0,0,25,0,0,0,0,1
Derrick Brown,43883,DI,CAR,1,1,0,5,1,0,0,0,5
Naquan Jones,44363,DI,HST,2,3,0,13,0,0,0,0,3
D.J. Wonnum,44550,ED,CAR,1,2,0,5,1,0,1,0,4
Leki Fotu,44614,DI,HST,2,0,0,13,0,0,0,0,1
Eyioma Uwazurike,45414,DI,DEN,2,1,0,10,0,0,0,0,8
Da'Shawn Hand,48386,DI,LAC,1,0,0,27,0,0,0,0,1
Harold Landry III,48600,ED,NE,3,0,0,19,2,0,0,0,3
Poona Ford,48875,DI,LA,3,1,0,26,0,0,0,1,6
Nick Scott,49012,S,CAR,1,2,0,5,0,0,0,0,7
Andrew Wingard,49268,S,JAX,1,0,0,15,0,0,0,0,5
Carlton Davis III,49335,CB,NE,4,3,0,19,1,2,3,0,18
C.J. Gardner-Johnson,49371,S,CHI,1,1,0,6,0,0,1,0,3
Donte Jackson,49377,CB,LAC,1,1,0,27,0,0,0,0,0
Cam Lewis,49395,S,BUF,1,3,0,4,0,0,1,0,5
Taron Johnson,49511,CB,BUF,2,2,0,4,0,0,0,0,7
Nick McCloud,49535,CB,CHI,1,0,0,6,0,0,0,0,0
Matt Dickerson,49601,DI,JAX,1,2,0,15,0,0,0,0,1
Zach Allen,49605,DI,DEN,2,1,0,10,2,0,0,2,5
Azeez Al-Shaair,49792,LB,HST,2,3,0,13,0,0,0,0,12
Christian Rozeboom,49862,LB,CAR,1,4,0,5,0,0,1,0,7
Uchenna Nwosu,50084,ED,SEA,3,1,0,29,1,1,0,0,1
John Franklin-Myers,50088,DI,DEN,2,0,0,10,1,0,0,0,1
Malcolm Roach,50191,DI,DEN,2,1,0,10,2,0,0,3,5
Josh Hines-Allen,50235,ED,JAX,1,0,0,15,1,0,0,1,3
Mike Jackson,50437,CB,CAR,1,1,0,5,0,1,2,0,3
Tremaine Edmunds,50905,LB,CHI,2,5,0,6,0,0,0,0,10
Robert Spillane,50918,LB,NE,4,7,0,19,0,0,1,0,12
Jahlani Tavai,51055,LB,NE,4,5,0,19,0,0,0,0,3
Julian Love,51081,S,SEA,3,2,0,29,0,1,0,0,7
P.J. Locke,51189,S,DEN,2,4,1,10,0,1,0,0,9
Derwin James Jr.,51368,S,LAC,1,1,0,27,0,0,0,0,2
Marcus Epps,51391,S,PHI,1,0,0,24,0,0,0,0,3
Jaylinn Hawkins,51423,S,NE,4,2,0,19,1,0,0,0,9
Dre Greenlaw,51503,LB,DEN,2,7,0,10,0,0,0,0,2
Khyiris Tonga,52000,DI,NE,3,1,0,19,1,0,0,1,5
Claudin Cherelus,52094,LB,CAR,1,6,0,5,1,0,0,0,5
Carrington Valentine,53750,CB,GB,1,0,0,12,0,1,0,0,3
Coby Bryant,55088,S,SEA,3,6,0,29,0,0,2,0,6
Boye Mafe,55220,ED,SEA,3,2,0,29,0,0,0,0,3
Esezi Otomewo,55221,DI,PIT,1,2,0,25,0,0,0,0,0
Kalia Davis,55389,DI,SF,2,0,0,28,0,0,0,0,0
Elijah Hicks,55584,S,CHI,2,0,0,6,0,0,0,0,0
Deommodore Lenoir,55686,CB,SF,2,1,0,28,0,0,0,0,10
Marcus Jones,55717,CB,NE,4,3,1,19,0,1,3,1,17
Darious Williams,55724,CB,LA,2,1,0,26,0,0,0,0,7
Ja'Marcus Ingram,55738,CB,HST,2,0,0,13,0,1,0,0,0
Xavier McKinney,55775,S,GB,1,1,0,12,0,0,2,0,4
Montaric Brown,55797,CB,JAX,1,1,0,15,0,0,0,0,3
Kamren Curl,55800,S,LA,3,6,0,26,2,1,1,0,20
Benjamin St-Juste,56061,CB,LAC,1,1,0,27,0,0,0,0,0
Reed Blankenship,56065,S,PHI,1,1,0,24,0,0,0,0,6
Ty Okada,56089,S,SEA,2,0,0,29,0,0,0,0,0
Jason Pinnock,56144,S,SF,2,0,0,28,0,0,0,0,0
Marte Mapu,56159,LB,NE,2,0,0,19,0,0,0,0,0
Keisean Nixon,56167,CB,GB,1,0,0,12,0,0,0,0,5
Quentin Lake,56245,S,LA,3,6,0,26,0,0,2,0,12
Jaylon Johnson,56259,CB,CHI,2,0,0,6,0,0,2,0,6
Elijah Molden,56290,S,LAC,1,1,0,27,0,0,0,0,1
Devon Key,56307,S,DEN,2,0,0,10,0,0,0,0,3
A.J. Epenesa,56369,ED,BUF,2,1,0,4,0,0,0,0,1
Andre Jones Jr.,56395,ED,BUF,1,0,0,4,0,0,0,0,1
Yetur Gross-Matos,56444,ED,SF,2,1,0,28,0,0,0,0,1
Phidarian Mathis,56504,DI,BUF,1,0,0,4,0,0,0,0,0
Milton Williams,56682,DI,NE,4,1,0,19,2,0,0,3,2
Jonathan Ford,56705,DI,GB,1,0,0,12,0,0,0,0,2
Jordan Elliott,56734,DI,SF,2,2,0,28,0,0,0,0,0
Jaelan Phillips,56902,ED,PHI,1,0,0,24,0,0,0,0,0
Cory Durden,56976,DI,NE,4,5,0,19,2,0,0,0,1
Brandon Pili,57036,DI,SEA,2,0,0,29,0,0,0,0,3
Jack Gibbens,57662,LB,NE,4,5,0,19,0,0,0,0,13
D'Marco Jackson,57691,LB,CHI,2,1,0,6,0,0,1,0,10
Jalen Pitre,57737,S,HST,2,0,0,13,0,0,0,0,12
Isaiah McDuffie,57754,LB,GB,1,2,0,12,1,0,1,0,3
Baylon Spector,57782,LB,BUF,1,0,0,4,0,0,0,0,0
Nate Landman,57788,LB,LA,3,11,1,26,0,0,0,0,19
Del'Shawn Phillips,57868,LB,LAC,1,2,0,27,0,0,0,0,1
Patrick Queen,57941,LB,PIT,1,3,0,25,0,0,0,0,7
K'Lavon Chaisson,57945,ED,NE,4,0,1,19,7,0,0,3,8
Devin Lloyd,58238,LB,JAX,1,1,0,15,0,0,0,0,6
Michael Carter II,60644,CB,PHI,1,0,0,24,0,0,0,0,0
James Pierre,60649,CB,PIT,1,1,0,25,0,0,0,0,3
Garret Wallow,60761,LB,SF,2,5,0,28,0,0,1,0,8
Keion White,60998,ED,SF,2,1,0,28,0,0,0,1,2
Dominique Robinson,61436,ED,CHI,2,1,1,6,0,0,0,1,2
Daiyan Henley,61500,LB,LAC,1,0,0,27,0,1,0,0,11
Tariq Woolen,61790,CB,SEA,3,2,0,29,0,0,2,0,7
Christian Elliss,61853,LB,NE,4,4,1,19,2,0,1,1,13
Akayleb Evans,65033,CB,CAR,1,0,0,5,0,0,0,0,0
Ty Hamilton,66298,DI,LA,3,0,0,26,0,0,0,0,2
Kobie Turner,66894,DI,LA,3,0,0,26,3,0,0,0,5
Dennis Gardeck,66928,LB,JAX,1,0,0,15,0,0,0,0,1
Evan Williams,73864,S,GB,1,4,0,12,0,0,0,0,6
Chad Muma,75818,LB,NE,2,0,0,19,0,0,0,0,0
Asante Samuel Jr.,76625,CB,PIT,1,0,0,25,0,0,0,0,0
